step,value,metric,run_id,algorithm,observation_mode,reward_mode
35,0.012500000186264515,training_reward,dqn_compact_coverage,dqn,compact,coverage
310,1.2999999523162842,training_reward,dqn_compact_coverage,dqn,compact,coverage
628,3.5808334350585938,training_reward,dqn_compact_coverage,dqn,compact,coverage
1214,2.453749895095825,training_reward,dqn_compact_coverage,dqn,compact,coverage
1259,2.180500030517578,training_reward,dqn_compact_coverage,dqn,compact,coverage
1353,2.1424999237060547,training_reward,dqn_compact_coverage,dqn,compact,coverage
1397,2.2046427726745605,training_reward,dqn_compact_coverage,dqn,compact,coverage
1419,1.9190624952316284,training_reward,dqn_compact_coverage,dqn,compact,coverage
1486,2.052500009536743,training_reward,dqn_compact_coverage,dqn,compact,coverage
1660,2.7325000762939453,training_reward,dqn_compact_coverage,dqn,compact,coverage
1713,2.9947726726531982,training_reward,dqn_compact_coverage,dqn,compact,coverage
1793,3.119166612625122,training_reward,dqn_compact_coverage,dqn,compact,coverage
1821,3.0373077392578125,training_reward,dqn_compact_coverage,dqn,compact,coverage
2125,3.1473214626312256,training_reward,dqn_compact_coverage,dqn,compact,coverage
2202,3.191333293914795,training_reward,dqn_compact_coverage,dqn,compact,coverage
2278,3.2300000190734863,training_reward,dqn_compact_coverage,dqn,compact,coverage
2378,3.1194117069244385,training_reward,dqn_compact_coverage,dqn,compact,coverage
2429,3.0487499237060547,training_reward,dqn_compact_coverage,dqn,compact,coverage
2608,3.025921106338501,training_reward,dqn_compact_coverage,dqn,compact,coverage
2744,3.233875036239624,training_reward,dqn_compact_coverage,dqn,compact,coverage
2815,3.232142925262451,training_reward,dqn_compact_coverage,dqn,compact,coverage
2863,3.3394317626953125,training_reward,dqn_compact_coverage,dqn,compact,coverage
2931,3.2955434322357178,training_reward,dqn_compact_coverage,dqn,compact,coverage
2969,3.2016665935516357,training_reward,dqn_compact_coverage,dqn,compact,coverage
3083,3.252700090408325,training_reward,dqn_compact_coverage,dqn,compact,coverage
3203,3.4677000045776367,training_reward,dqn_compact_coverage,dqn,compact,coverage
3223,3.450200080871582,training_reward,dqn_compact_coverage,dqn,compact,coverage
3317,3.2511000633239746,training_reward,dqn_compact_coverage,dqn,compact,coverage
3345,3.349400043487549,training_reward,dqn_compact_coverage,dqn,compact,coverage
3688,3.281599998474121,training_reward,dqn_compact_coverage,dqn,compact,coverage
3740,3.353800058364868,training_reward,dqn_compact_coverage,dqn,compact,coverage
3838,3.2964000701904297,training_reward,dqn_compact_coverage,dqn,compact,coverage
3896,3.350800037384033,training_reward,dqn_compact_coverage,dqn,compact,coverage
4194,2.9827001094818115,training_reward,dqn_compact_coverage,dqn,compact,coverage
4278,2.7181999683380127,training_reward,dqn_compact_coverage,dqn,compact,coverage
4438,2.4765000343322754,training_reward,dqn_compact_coverage,dqn,compact,coverage
4522,2.348099946975708,training_reward,dqn_compact_coverage,dqn,compact,coverage
4666,2.2035000324249268,training_reward,dqn_compact_coverage,dqn,compact,coverage
4722,2.0913000106811523,training_reward,dqn_compact_coverage,dqn,compact,coverage
4993,1.9738999605178833,training_reward,dqn_compact_coverage,dqn,compact,coverage
5443,1.4144999980926514,training_reward,dqn_compact_coverage,dqn,compact,coverage
5466,1.4642000198364258,training_reward,dqn_compact_coverage,dqn,compact,coverage
5486,1.4752999544143677,training_reward,dqn_compact_coverage,dqn,compact,coverage
5803,1.2999999523162842,training_reward,dqn_compact_coverage,dqn,compact,coverage
6505,0.7074000239372253,training_reward,dqn_compact_coverage,dqn,compact,coverage
6901,0.6699000000953674,training_reward,dqn_compact_coverage,dqn,compact,coverage
6973,0.39149999618530273,training_reward,dqn_compact_coverage,dqn,compact,coverage
7000,0.4431000053882599,training_reward,dqn_compact_coverage,dqn,compact,coverage
7645,0.11289999634027481,training_reward,dqn_compact_coverage,dqn,compact,coverage
